Feature Name,Category,Subcategory,Description,Input Required,Output,Example Tool/API,Tags,Capability Category,Documentation / URL
Detect sponsor logo as-closed-captions,Auto/Generated,,Detect sponsor logo as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect sponsor logo as-text-snippet,Auto/Generated,,Detect sponsor logo as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect sponsor logo with-language-detection,Auto/Generated,,Detect sponsor logo with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect timestamp as-closed-captions,Auto/Generated,,Detect timestamp as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect timestamp as-text-snippet,Auto/Generated,,Detect timestamp as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect timestamp with-language-detection,Auto/Generated,,Detect timestamp with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect transcript segment as-closed-captions,Auto/Generated,,Detect transcript segment as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect transcript segment as-text-snippet,Auto/Generated,,Detect transcript segment as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect transcript segment with-language-detection,Auto/Generated,,Detect transcript segment with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect whiteboard as-closed-captions,Auto/Generated,,Detect whiteboard as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Detect whiteboard as-text-snippet,Auto/Generated,,Detect whiteboard as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Detect whiteboard with-language-detection,Auto/Generated,,Detect whiteboard with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Language,https://huggingface.co/models
Extract action items from transcript,Speech → Text & Text → Speech,,Extract action items from transcript — automated capability for live video/streaming apps.,Audio,Modified video/audio/subtitles/metadata,Generic AI Tool,,Language,https://huggingface.co/models
Live captions styling presets,Content Overlays,,Live captions styling presets — automated capability for live video/streaming apps.,Stream/Media/Transcript,Modified video/audio/subtitles/metadata,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Live translated subtitles,Speech → Text & Text → Speech,,Live translated subtitles — automated capability for live video/streaming apps.,Audio,Modified video/audio/subtitles/metadata,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Punctuation & capitalization in captions,Speech → Text & Text → Speech,,Punctuation & capitalization in captions — automated capability for live video/streaming apps.,Audio,Modified video/audio/subtitles/metadata,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Summarize chat,Auto/Generic,,Summarize chat — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Summarize meeting in real-time,Speech → Text & Text → Speech,,Summarize meeting in real-time — automated capability for live video/streaming apps.,Audio,Modified video/audio/subtitles/metadata,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Summarize screen-share,Auto/Generic,,Summarize screen-share — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Summarize slides,Auto/Generic,,Summarize slides — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Summarize speaker,Auto/Generic,,Summarize speaker — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Summarize whiteboard,Auto/Generic,,Summarize whiteboard — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Translate chat,Auto/Generic,,Translate chat — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Translate screen-share,Auto/Generic,,Translate screen-share — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Translate slides,Auto/Generic,,Translate slides — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Translate speaker,Auto/Generic,,Translate speaker — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
Translate whiteboard,Auto/Generic,,Translate whiteboard — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Zoom AI Companion / Descript / Whisper,,Language,"https://www.descript.com/, https://openai.com/research/whisper"
AI note-taking bot,Collaboration & Productivity,,AI note-taking bot — automated capability for live video/streaming apps.,Stream/Media/Transcript,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
Add custom watermark/logo,Visual Effects & Styling,,Add custom watermark/logo — automated capability for live video/streaming apps.,Camera,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
Add virtual stage/set,Background & Environment,,Add virtual stage/set — automated capability for live video/streaming apps.,Camera,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
Annotate chat,Auto/Generic,,Annotate chat — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Generic AI Tool,,Other,https://huggingface.co/models
